barcode,name,brand,grade,sugar,fat,protein,calories,source
no_barcode,Kidney bean curry (Rajmah curry),Home/Restaurant,C,16.38,0.0,5.95,0.0,IndianDishes
no_barcode,Sambar,Home/Restaurant,C,10.57,0.0,3.35,0.0,IndianDishes
no_barcode,Besan kadhi with pakodies,Home/Restaurant,B,3.56,0.0,1.64,0.0,IndianDishes
no_barcode,Khatta channa,Home/Restaurant,C,21.14,0.0,6.3,0.0,IndianDishes
no_barcode,Sprouted moong dal chat,Home/Restaurant,B,6.01,0.0,1.35,0.0,IndianDishes
no_barcode,Potato cauliflower (Aloo gobhi),Home/Restaurant,B,5.99,0.0,1.9,0.0,IndianDishes
no_barcode,Potato capsicum (Shimla mirch aloo),Home/Restaurant,B,8.72,0.0,1.41,0.0,IndianDishes
no_barcode,Cabbage and peas (Pattagobhi aur matar),Home/Restaurant,B,6.24,0.0,3.24,0.0,IndianDishes
no_barcode,Carrot and fenugreek leaves (Gajar methi),Home/Restaurant,B,4.17,0.0,2.1,0.0,IndianDishes
no_barcode,Potato fenugreek (Aloo methi),Home/Restaurant,B,8.47,0.0,2.25,0.0,IndianDishes
no_barcode,Brinjal bhartha (Baingan ka bhartha),Home/Restaurant,B,4.4,0.0,1.38,0.0,IndianDishes
no_barcode,Dry potato (Sookhe aloo),Home/Restaurant,C,14.38,0.0,1.62,0.0,IndianDishes
no_barcode,Beans with coconut (Nariyal aur sem/phali; Beans thoran),Home/Restaurant,B,4.39,0.0,2.62,0.0,IndianDishes
no_barcode,Cauliflower with coconut (Nariyal ke saath phoolgobhi),Home/Restaurant,B,3.99,0.0,2.64,0.0,IndianDishes
no_barcode,Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),Home/Restaurant,B,4.99,0.0,1.82,0.0,IndianDishes
no_barcode,Raw turnip with coconut ,Home/Restaurant,B,5.78,0.0,1.8,0.0,IndianDishes
no_barcode,Raw papaya with coconut (Papaya thoran),Home/Restaurant,B,5.58,0.0,1.54,0.0,IndianDishes
no_barcode,Stuffed okra (Bharwa bhindi),Home/Restaurant,B,3.85,0.0,2.08,0.0,IndianDishes
no_barcode,Stuffed round gourd (Bharwa tinde),Home/Restaurant,B,4.02,0.0,1.1,0.0,IndianDishes
no_barcode,Stuffed capsicum (Bharwa shimla mirch),Home/Restaurant,B,8.26,0.0,1.34,0.0,IndianDishes
no_barcode,Stuffed brinjal (Bharwa baingan),Home/Restaurant,B,3.96,0.0,1.53,0.0,IndianDishes
no_barcode,Stuffed tomatoes (Bharwa tamatar),Home/Restaurant,B,6.19,0.0,3.28,0.0,IndianDishes
no_barcode,Pea potato curry (Aloo matar),Home/Restaurant,B,9.74,0.0,3.48,0.0,IndianDishes
no_barcode,Pea paneer curry (Matar paneer),Home/Restaurant,B,9.29,0.0,6.61,0.0,IndianDishes
no_barcode,Pea mushroom curry (Matar mushroom),Home/Restaurant,B,7.41,0.0,3.87,0.0,IndianDishes
no_barcode,Pea curry (Matar ki sabzi),Home/Restaurant,B,9.2,0.0,4.51,0.0,IndianDishes
no_barcode,Pea vadi curry,Home/Restaurant,B,8.9,0.0,4.64,0.0,IndianDishes
no_barcode,Paneer curry,Home/Restaurant,B,8.4,0.0,7.8,0.0,IndianDishes
no_barcode,Lotus stem curry (Kamal kakdi curry),Home/Restaurant,B,9.24,0.0,1.53,0.0,IndianDishes
no_barcode,Gravy for kofta,Home/Restaurant,B,6.31,0.0,1.75,0.0,IndianDishes
no_barcode,Pea kofta curry (Matar kofta curry),Home/Restaurant,B,4.17,0.0,2.01,0.0,IndianDishes
no_barcode,Spinach kofta curry (Palak kofta curry),Home/Restaurant,B,3.56,0.0,1.09,0.0,IndianDishes
no_barcode,Paneer kofta curry,Home/Restaurant,B,3.27,0.0,2.39,0.0,IndianDishes
no_barcode,Lotus stem kofta curry (Kamal kakdi kofta curry),Home/Restaurant,B,5.01,0.0,0.96,0.0,IndianDishes
no_barcode,Raw banana kofta curry (Kela kofta curry),Home/Restaurant,B,3.4,0.0,0.62,0.0,IndianDishes
no_barcode,Cauliflower kofta curry (Phoolgobhi kofta curry),Home/Restaurant,B,2.62,0.0,1.04,0.0,IndianDishes
no_barcode,Cabbage kofta curry (Pattagobhi kofta curry),Home/Restaurant,B,2.87,0.0,0.98,0.0,IndianDishes
no_barcode,Ghiya/Lauki Kofta Curry,Home/Restaurant,B,2.71,0.0,0.89,0.0,IndianDishes
no_barcode,Spinach paneer kofta curry (Palak paneer kofta curry),Home/Restaurant,B,2.94,0.0,1.43,0.0,IndianDishes
no_barcode,Vegetarian egg kofta curry,Home/Restaurant,B,4.26,0.0,1.33,0.0,IndianDishes
no_barcode,Baked vegetables,Home/Restaurant,B,8.44,0.0,3.67,0.0,IndianDishes
no_barcode,Cauliflower musallam (Phoolgobhi musallam),Home/Restaurant,B,4.48,0.0,1.89,0.0,IndianDishes
no_barcode,Baked vegetables with spinach ,Home/Restaurant,B,6.93,0.0,3.22,0.0,IndianDishes
no_barcode,Baked potato with skin ,Home/Restaurant,C,11.11,0.0,3.43,0.0,IndianDishes
no_barcode,Shepherd's pie (vegetarian),Home/Restaurant,C,12.03,0.0,5.04,0.0,IndianDishes
no_barcode,Baked brinjal in tomato sauce,Home/Restaurant,B,4.13,0.0,1.58,0.0,IndianDishes
no_barcode,Dum aloo,Home/Restaurant,B,3.33,0.0,0.7,0.0,IndianDishes
no_barcode,Spinach paneer (Palak paneer),Home/Restaurant,B,4.43,0.0,4.03,0.0,IndianDishes
no_barcode,Methi chaman,Home/Restaurant,B,2.78,0.0,1.54,0.0,IndianDishes
no_barcode,Sarson ka saag,Home/Restaurant,B,5.33,0.0,3.0,0.0,IndianDishes
